owners_number,pts,year,price,with_nds,is_oficial,city,parents_ids_len,mileage,state_not_beaten,images_count,cylinder_amount,cylinder_order,displacement,engine,gear,horse_power,mark,model_info,moto_type,stroke_amount,transmission
1,ORIGINAL,2006,598000,False,False,Домодедово,7,24237,True,15,CYLINDERS_2,V_TYPE,1312,CARBURETOR,CARDAN,75.0,Honda,VTX1300,CRUISER,STROKES_4,TRANSMISSION_5
1,ORIGINAL,2021,2390000,False,False,Копейск,7,3900,True,19,CYLINDERS_4,LINE,1000,INJECTOR,CHAIN,165.0,BMW,S_1000_R,NAKEDBIKE,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2021,4100000,True,True,Казань,7,5753,True,15,CYLINDERS_2,V_TYPE,1868,INJECTOR,BELT,93.0,Harley-Davidson,ULTRA_LIMITED,CRUISER,STROKES_4,TRANSMISSION_6
2,ORIGINAL,2021,1500000,False,False,Москва,6,9000,True,12,CYLINDERS_4,LINE,948,INJECTOR,CHAIN,125.0,Kawasaki,Z_900,NAKEDBIKE,STROKES_4,TRANSMISSION_6
3,ORIGINAL,2019,1748000,False,True,Москва,6,568,True,6,CYLINDERS_2,OPPOSITE,1200,INJECTOR,CARDAN,110.0,BMW,R_NINE_T_PURE,CUSTOM,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2017,700000,False,True,Одинцово,8,2919,True,12,CYLINDERS_1,,300,,CHAIN,,KTM,300_EXC,OFFROAD_ENDURO,STROKES_2,TRANSMISSION_6
1,ORIGINAL,2021,4700000,False,True,Балашиха,7,4833,True,6,,,1833,,CARDAN,126.0,Honda,GL_1800,TOURISM,,AUTOMATIC
1,ORIGINAL,2020,1250000,False,False,Санкт-Петербург,6,8571,True,14,CYLINDERS_2,LINE,850,INJECTOR,CHAIN,77.0,BMW,F_750_GS,TOURIST_ENDURO,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2012,915000,False,False,Санкт-Петербург,6,35601,True,15,CYLINDERS_4,LINE,1200,INJECTOR,CHAIN,130.0,Honda,VFR_1200X_XD,TOURIST_ENDURO,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2021,899000,False,False,Санкт-Петербург,6,2480,True,16,CYLINDERS_2,LINE,649,INJECTOR,CHAIN,68.0,Kawasaki,Z_650,NAKEDBIKE,STROKES_4,TRANSMISSION_6
2,ORIGINAL,2012,590000,False,False,Москва,6,26969,True,7,CYLINDERS_2,V_TYPE,745,INJECTOR,CARDAN,45.0,Honda,VT_750,CRUISER,STROKES_4,TRANSMISSION_5
1,ORIGINAL,2021,2537600,False,True,Санкт-Петербург,6,3045,True,5,CYLINDERS_2,OPPOSITE,1802,INJECTOR,CARDAN,91.0,BMW,R_18_CLASSIC,CRUISER,STROKES_4,TRANSMISSION_6_FORWARD_AND_BACK
2,ORIGINAL,2020,550000,False,False,Санкт-Петербург,6,2955,True,17,CYLINDERS_1,LINE,313,INJECTOR,CHAIN,34.0,BMW,G310R,NAKEDBIKE,STROKES_4,TRANSMISSION_6
2,ORIGINAL,2018,535000,False,False,Санкт-Петербург,6,650,True,16,CYLINDERS_1,LINE,313,INJECTOR,CHAIN,34.0,BMW,G310R,NAKEDBIKE,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2013,695000,False,False,Владивосток,7,32226,True,7,,,1300,INJECTOR,BELT,,Yamaha,XVS_1300,CRUISER,STROKES_4,
1,ORIGINAL,2014,685000,False,False,Владивосток,7,28830,True,7,,,1000,INJECTOR,CHAIN,,Kawasaki,Z_1000SX,SPORTBIKE,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2022,795000,False,False,Владивосток,7,1,True,7,,,250,INJECTOR,CHAIN,,Honda,CRF_250L,OFFROAD_ENDURO,STROKES_4,
1,ORIGINAL,2020,755000,False,False,Владивосток,7,20309,True,7,,,650,INJECTOR,CHAIN,,Suzuki,V_STROM_DL_650,TOURISM,STROKES_4,
1,ORIGINAL,2015,695000,False,False,Владивосток,7,14099,True,7,,,850,INJECTOR,CHAIN,,Yamaha,MT_09_TRACER,NAKEDBIKE,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2021,420000,False,False,Санкт-Петербург,6,441,True,18,CYLINDERS_1,LINE,373,INJECTOR,CHAIN,40.0,Bajaj,DOMINAR,NAKEDBIKE,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2018,799000,False,False,Санкт-Петербург,6,3785,True,17,CYLINDERS_2,LINE,650,INJECTOR,CHAIN,68.0,Kawasaki,Z_650,NAKEDBIKE,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2019,475000,False,False,Санкт-Петербург,6,7700,True,16,CYLINDERS_1,LINE,313,INJECTOR,CHAIN,34.0,BMW,G310R,NAKEDBIKE,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2020,689000,False,False,Санкт-Петербург,6,3233,True,15,CYLINDERS_1,LINE,313,INJECTOR,CHAIN,34.0,BMW,G_310_GS,OFFROAD_ENDURO,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2018,650000,False,False,Санкт-Петербург,6,1145,True,17,CYLINDERS_1,LINE,313,INJECTOR,CHAIN,34.0,BMW,G_310_GS,OFFROAD_ENDURO,STROKES_4,TRANSMISSION_6
3,ORIGINAL,2018,655000,False,False,Санкт-Петербург,6,992,True,13,CYLINDERS_1,LINE,313,INJECTOR,CHAIN,34.0,BMW,G_310_GS,OFFROAD_ENDURO,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2020,1299000,False,False,Санкт-Петербург,6,8773,True,15,CYLINDERS_3,LINE,850,INJECTOR,CHAIN,115.0,Yamaha,XSR_900,ROAD,STROKES_4,TRANSMISSION_6
2,ORIGINAL,2019,669000,False,False,Санкт-Петербург,6,2700,True,16,CYLINDERS_1,LINE,310,INJECTOR,CHAIN,34.0,BMW,G_310_GS,OFFROAD_ENDURO,STROKES_4,TRANSMISSION_6
2,ORIGINAL,2019,665000,False,False,Санкт-Петербург,6,3948,True,15,CYLINDERS_1,LINE,310,INJECTOR,CHAIN,34.0,BMW,G_310_GS,OFFROAD_ENDURO,STROKES_4,TRANSMISSION_6
2,ORIGINAL,2016,2600000,False,False,Москва,6,36152,True,13,,,1800,,Not_info,92.0,Harley-Davidson,BREAKOUT,,,
2,ORIGINAL,2009,1290000,False,False,Москва,6,66949,True,9,,,1800,,Not_info,118.0,Honda,GL_1800,,,
2,ORIGINAL,2009,790000,False,False,Москва,6,32818,True,9,,,1000,,Not_info,178.0,Honda,CBR_1000_RR,,,
1,ORIGINAL,2011,649000,False,True,Москва,6,19613,True,7,CYLINDERS_4,LINE,600,INJECTOR,CHAIN,102.0,Honda,CBR_600_F,SPORTTOURISM,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2013,1350000,False,False,Москва,6,7952,True,11,,,1900,,Not_info,90.0,Yamaha,XV1900,,,
1,ORIGINAL,2007,640000,False,False,Москва,6,78560,True,12,,,1200,,Not_info,110.0,BMW,R_1200_R,,,
1,ORIGINAL,2009,1450000,False,False,Москва,6,41466,True,8,,,1800,,Not_info,118.0,Honda,GL_1800,,,
1,ORIGINAL,2017,2250000,False,False,Москва,6,56818,True,10,,,1600,,Not_info,160.0,BMW,K_1600_GTL,,,
1,ORIGINAL,2015,1590000,False,False,Москва,6,38777,True,12,,,1200,,Not_info,125.0,BMW,R_1200_GS,,,
2,ORIGINAL,2015,1750000,False,False,Москва,6,22889,True,11,,,1800,,Not_info,74.0,Indian,ROADMASTER,,,
2,ORIGINAL,2018,505000,False,False,Москва,6,11198,True,11,,,300,,Not_info,34.0,BMW,G310R,,,
