owners_number,pts,year,price,with_nds,is_oficial,city,parents_ids_len,mileage,state_not_beaten,images_count,cylinder_amount,cylinder_order,displacement,engine,gear,horse_power,mark,model_info,moto_type,stroke_amount,transmission
1,ORIGINAL,2006,598000,False,False,Домодедово,7,24237,True,15.0,CYLINDERS_2,V_TYPE,1312,CARBURETOR,CARDAN,75.0,Honda,VTX1300,CRUISER,STROKES_4,TRANSMISSION_5
2,ORIGINAL,2021,1500000,False,False,Москва,6,9000,True,12.0,CYLINDERS_4,LINE,948,INJECTOR,CHAIN,125.0,Kawasaki,Z_900,NAKEDBIKE,STROKES_4,TRANSMISSION_6
3,ORIGINAL,2019,1748000,False,True,Москва,6,568,True,6.0,CYLINDERS_2,OPPOSITE,1200,INJECTOR,CARDAN,110.0,BMW,R_NINE_T_PURE,CUSTOM,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2017,700000,False,True,Одинцово,8,2919,True,12.0,CYLINDERS_1,LINE,300,INJECTOR,CHAIN,60.0,KTM,300_EXC,OFFROAD_ENDURO,STROKES_2,TRANSMISSION_6
1,ORIGINAL,2020,1250000,False,False,Санкт-Петербург,6,8571,True,14.0,CYLINDERS_2,LINE,850,INJECTOR,CHAIN,77.0,BMW,F_750_GS,TOURIST_ENDURO,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2012,915000,False,False,Санкт-Петербург,6,35601,True,15.0,CYLINDERS_4,LINE,1200,INJECTOR,CHAIN,130.0,Honda,VFR_1200X_XD,TOURIST_ENDURO,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2021,899000,False,False,Санкт-Петербург,6,2480,True,16.0,CYLINDERS_2,LINE,649,INJECTOR,CHAIN,68.0,Kawasaki,Z_650,NAKEDBIKE,STROKES_4,TRANSMISSION_6
2,ORIGINAL,2012,590000,False,False,Москва,6,26969,True,7.0,CYLINDERS_2,V_TYPE,745,INJECTOR,CARDAN,45.0,Honda,VT_750,CRUISER,STROKES_4,TRANSMISSION_5
2,ORIGINAL,2020,550000,False,False,Санкт-Петербург,6,2955,True,17.0,CYLINDERS_1,LINE,313,INJECTOR,CHAIN,34.0,BMW,G310R,NAKEDBIKE,STROKES_4,TRANSMISSION_6
2,ORIGINAL,2018,535000,False,False,Санкт-Петербург,6,650,True,16.0,CYLINDERS_1,LINE,313,INJECTOR,CHAIN,34.0,BMW,G310R,NAKEDBIKE,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2013,695000,False,False,Владивосток,7,32226,True,7.0,CYLINDERS_2,V_TYPE,1300,INJECTOR,BELT,73.0,Yamaha,XVS_1300,CRUISER,STROKES_4,TRANSMISSION_5
1,ORIGINAL,2014,685000,False,False,Владивосток,7,28830,True,7.0,CYLINDERS_4,LINE,1000,INJECTOR,CHAIN,138.0,Kawasaki,Z_1000SX,SPORTBIKE,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2022,795000,False,False,Владивосток,7,1,True,7.0,CYLINDERS_1,LINE,250,INJECTOR,CHAIN,25.0,Honda,CRF_250L,OFFROAD_ENDURO,STROKES_4,TRANSMISSION_6
