owners_number,pts,year,price,with_nds,is_oficial,city,parents_ids_len,mileage,state_not_beaten,images_count,cylinder_amount,cylinder_order,displacement,engine,gear,horse_power,mark,model_info,moto_type,stroke_amount,transmission
1,ORIGINAL,2006,598000,False,False,Домодедово,7,24237.0,True,15.0,CYLINDERS_2,V_TYPE,1312,CARBURETOR,CARDAN,75.0,Honda,VTX1300,CRUISER,STROKES_4,TRANSMISSION_5
1,ORIGINAL,2021,1862500,False,False,Копейск,7,3900.0,True,19.0,CYLINDERS_4,LINE,1000,INJECTOR,CHAIN,165.0,BMW,S_1000_R,NAKEDBIKE,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2021,1862500,True,True,Казань,7,5753.0,True,15.0,CYLINDERS_2,V_TYPE,1868,INJECTOR,BELT,93.0,Harley-Davidson,ULTRA_LIMITED,CRUISER,STROKES_4,TRANSMISSION_6
2,ORIGINAL,2021,1500000,False,False,Москва,6,9000.0,True,12.0,CYLINDERS_4,LINE,948,INJECTOR,CHAIN,125.0,Kawasaki,Z_900,NAKEDBIKE,STROKES_4,TRANSMISSION_6
3,ORIGINAL,2019,1748000,False,True,Москва,6,568.0,True,6.0,CYLINDERS_2,OPPOSITE,1200,INJECTOR,CARDAN,110.0,BMW,R_NINE_T_PURE,CUSTOM,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2017,700000,False,True,Одинцово,8,2919.0,True,12.0,CYLINDERS_1,LINE,300,INJECTOR,CHAIN,60.0,KTM,300_EXC,OFFROAD_ENDURO,STROKES_2,TRANSMISSION_6
1,ORIGINAL,2021,1862500,False,True,Балашиха,7,4833.0,True,6.0,CYLINDERS_6,OPPOSITE,1833,INJECTOR,CARDAN,126.0,Honda,GL_1800,TOURISM,STROKES_4,AUTOMATIC
1,ORIGINAL,2020,1250000,False,False,Санкт-Петербург,6,8571.0,True,14.0,CYLINDERS_2,LINE,850,INJECTOR,CHAIN,77.0,BMW,F_750_GS,TOURIST_ENDURO,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2012,915000,False,False,Санкт-Петербург,6,35601.0,True,15.0,CYLINDERS_4,LINE,1200,INJECTOR,CHAIN,130.0,Honda,VFR_1200X_XD,TOURIST_ENDURO,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2021,899000,False,False,Санкт-Петербург,6,2480.0,True,16.0,CYLINDERS_2,LINE,649,INJECTOR,CHAIN,68.0,Kawasaki,Z_650,NAKEDBIKE,STROKES_4,TRANSMISSION_6
